variant,k,layer,recall,samples
input_only,2,22,0.6091666666666666,1200
input_only,2,23,0.7216666666666667,1200
input_only,2,24,0.6891666666666667,1200
input_only,2,25,0.6175,1200
input_only,2,26,0.6716666666666666,1200
input_only,2,27,0.6825,1200
input_only,2,28,0.7016666666666667,1200
input_only,2,29,0.5391666666666667,1200
input_only,2,30,0.7458333333333333,1200
input_only,2,31,0.6625,1200
input_only,2,32,0.47583333333333333,1200
input_only,2,33,0.6658333333333334,1200
input_only,2,34,0.5808333333333333,1200
input_only,2,35,0.6141666666666666,1200
input_only,2,36,0.4708333333333333,1200
input_only,2,37,0.51,1200
input_only,2,38,0.37083333333333335,1200
input_only,2,39,0.6833333333333333,1200
input_only,2,40,0.4008333333333333,1200
input_only,2,41,0.7333333333333333,1200
input_only,2,42,0.6091666666666666,1200
input_only,2,43,0.5158333333333334,1200
input_only,2,44,0.41333333333333333,1200
input_only,2,45,0.3566666666666667,1200
input_only,3,0,0.11166666666666666,1200
input_only,3,1,0.47,1200
input_only,3,2,0.5583333333333333,1200
input_only,3,3,0.5533333333333333,1200
input_only,3,4,0.6533333333333333,1200
input_only,3,5,0.6683333333333333,1200
input_only,3,6,0.6666666666666666,1200
input_only,3,7,0.6416666666666667,1200
input_only,3,8,0.6216666666666667,1200
input_only,3,9,0.5683333333333334,1200
input_only,3,10,0.49333333333333335,1200
input_only,3,11,0.5958333333333333,1200
input_only,3,12,0.5391666666666667,1200
input_only,3,13,0.5725,1200
input_only,3,14,0.6666666666666666,1200
input_only,3,15,0.42,1200
input_only,3,16,0.595,1200
input_only,3,17,0.6966666666666667,1200
input_only,3,18,0.6633333333333333,1200
input_only,3,19,0.4525,1200
input_only,3,20,0.8016666666666666,1200
input_only,3,21,0.71,1200
input_only,3,22,0.565,1200
input_only,3,23,0.5083333333333333,1200
input_only,3,24,0.6533333333333333,1200
input_only,3,25,0.5141666666666667,1200
input_only,3,26,0.6175,1200
input_only,3,27,0.5966666666666667,1200
input_only,3,28,0.555,1200
input_only,3,29,0.5866666666666667,1200
input_only,3,30,0.6916666666666667,1200
input_only,3,31,0.4216666666666667,1200
input_only,3,32,0.5575,1200
input_only,3,33,0.5233333333333333,1200
input_only,3,34,0.5783333333333334,1200
input_only,3,35,0.4891666666666667,1200
input_only,3,36,0.6508333333333334,1200
input_only,3,37,0.5108333333333334,1200
input_only,3,38,0.4041666666666667,1200
input_only,3,39,0.35583333333333333,1200
input_only,3,40,0.6908333333333333,1200
input_only,3,41,0.5091666666666667,1200
input_only,3,42,0.4725,1200
input_only,3,43,0.345,1200
input_only,3,44,0.33,1200
input_only,4,0,0.1975,1200
input_only,4,1,0.44916666666666666,1200
input_only,4,2,0.5716666666666667,1200
input_only,4,3,0.56,1200
input_only,4,4,0.585,1200
input_only,4,5,0.5966666666666667,1200
input_only,4,6,0.5633333333333334,1200
input_only,4,7,0.5825,1200
input_only,4,8,0.6541666666666667,1200
input_only,4,9,0.39,1200
input_only,4,10,0.5016666666666667,1200
input_only,4,11,0.5266666666666666,1200
input_only,4,12,0.5058333333333334,1200
input_only,4,13,0.5691666666666667,1200
input_only,4,14,0.5758333333333333,1200
input_only,4,15,0.5325,1200
input_only,4,16,0.5741666666666667,1200
input_only,4,17,0.4716666666666667,1200
input_only,4,18,0.6358333333333334,1200
input_only,4,19,0.7125,1200
input_only,4,20,0.7833333333333333,1200
input_only,4,21,0.6391666666666667,1200
input_only,4,22,0.4841666666666667,1200
input_only,4,23,0.5791666666666667,1200
input_only,4,24,0.595,1200
input_only,4,25,0.48083333333333333,1200
input_only,4,26,0.5825,1200
input_only,4,27,0.5525,1200
input_only,4,28,0.5916666666666667,1200
input_only,4,29,0.63,1200
input_only,4,30,0.5741666666666667,1200
input_only,4,31,0.49916666666666665,1200
input_only,4,32,0.4625,1200
input_only,4,33,0.49166666666666664,1200
input_only,4,34,0.5908333333333333,1200
input_only,4,35,0.56,1200
input_only,4,36,0.6283333333333333,1200
input_only,4,37,0.515,1200
input_only,4,38,0.415,1200
input_only,4,39,0.6408333333333334,1200
input_only,4,40,0.4325,1200
input_only,4,41,0.4533333333333333,1200
input_only,4,42,0.35083333333333333,1200
input_only,4,43,0.22416666666666665,1200
shared_only,1,0,0.305,1200
shared_only,1,1,0.6066666666666667,1200
shared_only,1,2,0.5083333333333333,1200
shared_only,1,3,0.6541666666666667,1200
shared_only,1,4,0.7266666666666667,1200
shared_only,1,5,0.7308333333333333,1200
shared_only,1,6,0.8033333333333333,1200
shared_only,1,7,0.7741666666666667,1200
shared_only,1,8,0.7766666666666666,1200
shared_only,1,9,0.68,1200
shared_only,1,10,0.7658333333333334,1200
shared_only,1,11,0.6566666666666666,1200
shared_only,1,12,0.7166666666666667,1200
shared_only,1,13,0.6675,1200
shared_only,1,14,0.7083333333333334,1200
shared_only,1,15,0.7741666666666667,1200
shared_only,1,16,0.7783333333333333,1200
shared_only,1,17,0.6166666666666667,1200
shared_only,1,18,0.7208333333333333,1200
shared_only,1,19,0.7775,1200
shared_only,1,20,0.62,1200
shared_only,1,21,0.7416666666666667,1200
shared_only,1,22,0.47,1200
shared_only,1,23,0.7491666666666666,1200
shared_only,1,24,0.7858333333333334,1200
shared_only,1,25,0.67,1200
shared_only,1,26,0.7541666666666667,1200
shared_only,1,27,0.6816666666666666,1200
shared_only,1,28,0.7891666666666667,1200
shared_only,1,29,0.7475,1200
shared_only,1,30,0.7333333333333333,1200
shared_only,1,31,0.7775,1200
shared_only,1,32,0.7708333333333334,1200
shared_only,1,33,0.6583333333333333,1200
shared_only,1,34,0.6941666666666667,1200
shared_only,1,35,0.7025,1200
shared_only,1,36,0.6658333333333334,1200
shared_only,1,37,0.6441666666666667,1200
shared_only,1,38,0.37166666666666665,1200
shared_only,1,39,0.7966666666666666,1200
shared_only,1,40,0.7641666666666667,1200
shared_only,1,41,0.5733333333333334,1200
shared_only,1,42,0.6525,1200
shared_only,1,43,0.6483333333333333,1200
shared_only,1,44,0.65,1200
shared_only,1,45,0.59,1200
shared_only,1,46,0.5425,1200
shared_only,2,0,0.36666666666666664,1200
shared_only,2,1,0.41083333333333333,1200
shared_only,2,2,0.5116666666666667,1200
shared_only,2,3,0.5283333333333333,1200
shared_only,2,4,0.6416666666666667,1200
shared_only,2,5,0.745,1200
shared_only,2,6,0.7158333333333333,1200
shared_only,2,7,0.715,1200
shared_only,2,8,0.7,1200
shared_only,2,9,0.6233333333333333,1200
shared_only,2,10,0.6366666666666667,1200
shared_only,2,11,0.6216666666666667,1200
shared_only,2,12,0.615,1200
shared_only,2,13,0.5525,1200
shared_only,2,14,0.7066666666666667,1200
shared_only,2,15,0.6725,1200
shared_only,2,16,0.47833333333333333,1200
shared_only,2,17,0.685,1200
shared_only,2,18,0.6775,1200
shared_only,2,19,0.5841666666666666,1200
shared_only,2,20,0.485,1200
shared_only,2,21,0.6016666666666667,1200
shared_only,2,22,0.6116666666666667,1200
shared_only,2,23,0.7258333333333333,1200
shared_only,2,24,0.6883333333333334,1200
shared_only,2,25,0.6208333333333333,1200
shared_only,2,26,0.6733333333333333,1200
shared_only,2,27,0.6833333333333333,1200
shared_only,2,28,0.7033333333333334,1200
shared_only,2,29,0.5416666666666666,1200
shared_only,2,30,0.7466666666666667,1200
